#,Business Name,Trade,Region,Google Reviews,Rating,Google Search (find website),Gmail Compose (pre-filled)
11,#Electrical,electricians,Porirua,135,5.0,https://www.google.com/search?q=%23Electrical+Porirua+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+%23Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Porirua+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
12,Simply Plumbing,plumbers,Christchurch,132,5.0,https://www.google.com/search?q=Simply+Plumbing+Christchurch+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Simply+Plumbing+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Christchurch+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
13,Preferred Plumber Ltd,drainlayers,Tauranga,132,5.0,https://www.google.com/search?q=Preferred+Plumber+Ltd+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+drainlayer+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Preferred+Plumber+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
14,PlyLab furniture & kitchens,carpenters,Lower Hutt,131,5.0,https://www.google.com/search?q=PlyLab+furniture+%26+kitchens+Lower+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+carpenter+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+PlyLab+furniture+%26+kitchens+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Lower+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
15,Natoli Plumbing & Drainage,drainlayers,Lower Hutt,126,5.0,https://www.google.com/search?q=Natoli+Plumbing+%26+Drainage+Lower+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+drainlayer+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Natoli+Plumbing+%26+Drainage+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Lower+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
16,Southcombe Electrical,electricians,Whanganui,120,5.0,https://www.google.com/search?q=Southcombe+Electrical+Whanganui+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Southcombe+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Whanganui+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
17,"Inland Plumbing, Gasfitting and Drainlaying Limited",drainlayers,Auckland,115,4.9,https://www.google.com/search?q=Inland+Plumbing%2C+Gasfitting+and+Drainlaying+Limited+Auckland+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+drainlayer+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Inland+Plumbing%2C+Gasfitting+and+Drainlaying+Limited+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Auckland+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
18,Tauranga Electrical,electricians,Tauranga,108,5.0,https://www.google.com/search?q=Tauranga+Electrical+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Tauranga+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
19,Flush & Flow - Plumbing & Gas,plumbers,Christchurch,107,5.0,https://www.google.com/search?q=Flush+%26+Flow+-+Plumbing+%26+Gas+Christchurch+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Flush+%26+Flow+-+Plumbing+%26+Gas+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Christchurch+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
20,Bayside Electrical Services Ltd,electricians,Tauranga,95,5.0,https://www.google.com/search?q=Bayside+Electrical+Services+Ltd+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Bayside+Electrical+Services+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
21,Euroheat - Wellington's Hot Water & Central Heating Specialists,plumbers,Upper Hutt,94,5.0,https://www.google.com/search?q=Euroheat+-+Wellington%27s+Hot+Water+%26+Central+Heating+Specialists+Upper+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Euroheat+-+Wellington%27s+Hot+Water+%26+Central+Heating+Specialists+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Upper+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
22,Adam Tulloch Electrical Limited,electricians,Lower Hutt,85,5.0,https://www.google.com/search?q=Adam+Tulloch+Electrical+Limited+Lower+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Adam+Tulloch+Electrical+Limited+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Lower+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
23,M K Electrical Services Ltd,electricians,Palmerston North,85,5.0,https://www.google.com/search?q=M+K+Electrical+Services+Ltd+Palmerston+North+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+M+K+Electrical+Services+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Palmerston+North+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
24,Combined Plumbers Ltd,plumbers,Whanganui,81,5.0,https://www.google.com/search?q=Combined+Plumbers+Ltd+Whanganui+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Combined+Plumbers+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Whanganui+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
25,Illuminate Electrical Ltd,electricians,Tauranga,78,5.0,https://www.google.com/search?q=Illuminate+Electrical+Ltd+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Illuminate+Electrical+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
26,Alectrics Electrical | Electrician Hamilton,electricians,Hamilton,77,5.0,https://www.google.com/search?q=Alectrics+Electrical+%7C+Electrician+Hamilton+Hamilton+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Alectrics+Electrical+%7C+Electrician+Hamilton+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hamilton+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
27,Bay Brothers Plumbing and Gas Ltd,plumbers,Tauranga,77,5.0,https://www.google.com/search?q=Bay+Brothers+Plumbing+and+Gas+Ltd+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Bay+Brothers+Plumbing+and+Gas+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
28,Plumbed Out,plumbers,Porirua,76,5.0,https://www.google.com/search?q=Plumbed+Out+Porirua+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Plumbed+Out+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Porirua+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
29,Leck Electrical,electricians,Auckland,75,5.0,https://www.google.com/search?q=Leck+Electrical+Auckland+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Leck+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Auckland+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
30,Charged Up Electrical,electricians,Porirua,73,5.0,https://www.google.com/search?q=Charged+Up+Electrical+Porirua+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Charged+Up+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Porirua+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
31,"Sentinel Homes Waikato Hamilton - House & Land Builder, Designer and Subdivider",builders,Hamilton,73,5.0,https://www.google.com/search?q=Sentinel+Homes+Waikato+Hamilton+-+House+%26+Land+Builder%2C+Designer+and+Subdivider+Hamilton+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+builder+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Sentinel+Homes+Waikato+Hamilton+-+House+%26+Land+Builder%2C+Designer+and+Subdivider+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hamilton+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
32,Gallery Kitchens,carpenters,Napier,70,5.0,https://www.google.com/search?q=Gallery+Kitchens+Napier+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+carpenter+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Gallery+Kitchens+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Napier+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
33,Electric Avenue Electrical,electricians,Tauranga,68,5.0,https://www.google.com/search?q=Electric+Avenue+Electrical+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Electric+Avenue+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
34,Pipeman Expert Ltd.,plumbers,Upper Hutt,63,5.0,https://www.google.com/search?q=Pipeman+Expert+Ltd.+Upper+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Pipeman+Expert+Ltd.+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Upper+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
35,Drainage King,drainlayers,Christchurch,61,5.0,https://www.google.com/search?q=Drainage+King+Christchurch+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+drainlayer+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Drainage+King+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Christchurch+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
